20001958	80	0	8086A3	2AB024617460EB5	UNKNOWN
2000196C	80	0	80935D	8F1A225004FF0E9	UNKNOWN
20001980	80	0	809EB3	4F0408F1B24FF0E9	UNKNOWN
20001994	80	0	80A749	312A09460741FFE9	UNKNOWN
200019A8	80	0	80A891	F4616B08641F0E9	UNKNOWN
200019BC	80	0	80A9C5	72A043A081D89B5	UNKNOWN
200019D0	80	0	80C117	A24607B08C41F0E9	UNKNOWN
200019E4	80	0	80D713	6F88D4604B5	UNKNOWN
200019F8	80	0	80AC2F	8F1B24604B087B5	UNKNOWN
20001A0C	80	0	80B7FF	5D2A084605B08AB5	UNKNOWN
20001A20	80	0	80B79D	D2A084604B090B5	UNKNOWN
20001A34	80	0	80B4AB	84680B08841F0E9	UNKNOWN
20001A48	80	0	80D4A1	6BD1013A084604B5	UNKNOWN
20001A5C	80	0	80DEAD	154682B09847F0E9	UNKNOWN
20001A70	80	0	8101C1	E5F7FFB510477020	UNKNOWN
20001A84	81	0	810251	102000FF9FF7FFB5	UNKNOWN
20001A98	81	0	810405	1046144605B088B5	UNKNOWN
20001AAC	80	0	808CBD	56828B0894DDEB5	UNKNOWN
20001AC0	0	0	0	56A1D20120000	UNKNOWN
20001AD4	0	0	0	56A1D20120000	UNKNOWN
20001AE8	F0	43	41F140F1	0	UNKNOWN
20001AFC	B	36	320B330B	0	UNKNOWN
20001B10	6	13	22060906	0	CFG-ANT
20001B24	21	3	47062C06	0	UNKNOWN
20001B38	6	42	8061706	0	UNKNOWN
20001B4C	6	28	48063B06	0	UNKNOWN
20001B60	A	FF	60D1A0C	0	UNKNOWN
20001B74	9	9	7090609	0	UNKNOWN
20001B88	6	39	13091209	0	UNKNOWN
20001B9C	0	0	0	56A1D20120000	UNKNOWN
20001BB0	3	0	10003	10E6342000E7E3D1	UNKNOWN
20001BC4	80	0	809241	D6408222014615B5	UNKNOWN
20001BD8	0	0	0	56A1D20120000	UNKNOWN
20001BEC	0	0	0	56A1D20120000	UNKNOWN
20001C00	0	0	0	56A1D20120000	UNKNOWN
20001C14	0	0	7	56BB3000124A500	UNKNOWN
20001C28	0	0	0	56A1D20120000	UNKNOWN
20001C3C	0	0	0	56A1D20120000	UNKNOWN
20001C50	0	0	0	56A1D20120000	UNKNOWN
20001C64	0	0	0	56A1D20120000	UNKNOWN
20001C78	0	0	0	56A1D20120000	UNKNOWN
20001C8C	0	0	0	56A1D20120000	UNKNOWN
20001CA0	0	0	0	56A1D20120000	UNKNOWN
20001CB4	0	0	0	56A1D20120000	UNKNOWN
20001CC8	0	0	0	56A1D20120000	UNKNOWN
20001CDC	0	0	0	56A1D20120000	UNKNOWN
20001CF0	0	0	0	56A1D20120000	UNKNOWN
20001D04	0	0	0	56A1D20120000	UNKNOWN
20001D18	0	0	0	56A1D20120000	UNKNOWN
20001D2C	0	0	0	56A1D20120000	UNKNOWN
20001D40	14	0	428	F7FF201F4972AA02	UNKNOWN
20001D54	0	0	0	56A1D20120000	UNKNOWN
20001D68	0	0	0	56A1D20120000	UNKNOWN
20001D7C	0	0	34	5BDFB00000000	UNKNOWN
20001D90	0	0	0	56A1D20120000	UNKNOWN
20001DA4	0	0	0	56A1D20120000	UNKNOWN
20001DB8	0	0	0	56A1D20120000	UNKNOWN
20001DCC	0	0	0	56A1D20120000	UNKNOWN
20001DE0	0	0	0	56A1D20120000	UNKNOWN
20001DF4	0	1	0	56A1D20120000	UNKNOWN
20001E08	0	0	0	56A1D20120000	UNKNOWN
20001E1C	0	0	0	56A1D20120000	UNKNOWN
20001E30	0	0	0	56A1D20120000	UNKNOWN
20001E44	0	0	0	56A1D20120000	UNKNOWN
20001E58	0	0	0	56A1D20120000	UNKNOWN
20001E6C	0	0	0	56A1D20120000	UNKNOWN
20001E80	0	0	2	24A500056A1D2012	UNKNOWN
20001E94	0	0	0	56A1D20120000	UNKNOWN
20001EA8	0	0	0	56A1D20120000	UNKNOWN
20001EBC	0	0	0	56A1D20120000	UNKNOWN
20001ED0	0	0	0	56A1D20120000	UNKNOWN
20001EE4	0	0	53564E51	0	UNKNOWN
20001EF8	0	0	0	56A1D20120000	UNKNOWN
20001F0C	0	0	0	56A1D20120000	UNKNOWN
20001F20	0	0	0	56A1D20120000	UNKNOWN
20001F34	0	0	0	56A1D20120000	UNKNOWN
20001F48	0	0	0	56A1D20120000	UNKNOWN
20001F5C	0	0	DC	29E4A5FDF01729E9	UNKNOWN
20001F70	0	0	83CC77	FFF0104614460DB5	UNKNOWN
20001F84	83	0	C0000	9814D53107009814	UNKNOWN
20001F98	10	1	8030110	0	UNKNOWN
20001FAC	3	8	0	56A1D20120000	UNKNOWN
20001FC0	0	0	0	56A1D20120000	UNKNOWN
20001FD4	0	0	0	56A1D20120000	UNKNOWN
20001FE8	0	0	0	56A1D20120000	UNKNOWN
20001FFC	0	0	0	56A1D20120000	UNKNOWN
20002010	0	0	0	56A1D20120000	UNKNOWN
20002024	3	8	0	56A1D20120000	UNKNOWN
20002038	0	0	49C	F065463A464BF801	UNKNOWN
2000204C	0	0	3C4	A80B21044602FBAB	UNKNOWN
20002060	0	0	804875	1000FFF0104614B5	UNKNOWN
20002074	0	0	0	56A1D20120000	UNKNOWN
20002088	0	0	0	56A1D20120000	UNKNOWN
2000209C	0	0	0	56A1D20120000	UNKNOWN
200020B0	0	0	0	56A1D20120000	UNKNOWN
200020C4	0	0	0	56A1D20120000	UNKNOWN
200020D8	0	0	0	56A1D20120000	UNKNOWN
200020EC	0	0	0	56A1D20120000	UNKNOWN
20002100	18	0	9030018	0	UNKNOWN
20002114	3	9	0	56A1D20120000	UNKNOWN
Message in FW
862F0C	A	1B	80DA9D	UNKNOWN
862F18	A	11	80D8FF	UNKNOWN
862F24	A	6	80DABB	MON-MSGPP
862F30	A	8	80DAEB	MON-TXBUF
862F3C	A	7	80DAD3	MON-RXBUF
862F48	A	2	80DB03	MON-IO
862F54	A	1E	80DB85	UNKNOWN
862F60	A	5	80DBE7	MON-EXCEPT
862F6C	A	9	80DCDF	MON-HW
862F78	A	B	80DE03	MON-HW2
862F84	A	D	80DE69	MON-LLC
862F90	A	A	80DBB7	MON-USB
862F9C	A	1C	80DB6B	UNKNOWN
862FA8	A	1F	80DB9D	UNKNOWN
862FB4	A	1D	80DB1D	MON-SPEC
862FC0	A	20	80E041	UNKNOWN
862FCC	A	21	80E231	UNKNOWN
862FD8	A	22	80DBCF	UNKNOWN
862FE4	A	23	80E251	UNKNOWN
862FF0	A	25	80E317	UNKNOWN
862FFC	3	F	80FC47	TRK-SFRBX
863008	3	9	80FC4B	UNKNOWN
863014	3	A	80FCF3	TRK-TRKD5
863020	3	C	80FE6B	UNKNOWN
86302C	3	B	80FDAF	UNKNOWN
863038	1	6	80E5BD	NAV-SOL
863044	1	7	80E671	NAV-PVT
863050	1	30	80EBDD	NAV-SVINFO
86305C	1	3	80E523	NAV-STATUS
863068	1	1	80E3AD	NAV-POSECEF
863074	1	2	80E3F3	NAV-POSLLH
863080	1	4	80E499	NAV-DOP
86308C	1	11	80E8BD	NAV-VELECEF
863098	1	12	80E901	NAV-VELNED
8630A4	1	20	80E98B	NAV-TIMEGPS
8630B0	1	21	80E9F7	NAV-TIMEUTC
8630BC	1	22	80EA8F	NAV-CLOCK
8630C8	1	32	80EF6F	NAV-SBAS
8630D4	1	31	80F0AD	NAV-DGPS
8630E0	1	60	80F171	NAV-AOPSTATUS
8630EC	9	13	810607	UNKNOWN
8630F8	21	8	80D5D3	LOG-INFO
863104	F0	A	807139	NMEA
863110	F0	4	807E99	NMEA
86311C	F0	5	807F8B	NMEA
863128	F0	D	807521	NMEA
863134	F0	0	8073EF	NMEA
863140	F0	2	8078DD	NMEA
86314C	F0	3	807B9B	NMEA
863158	F0	1	807869	NMEA
863164	F0	6	807743	NMEA
863170	F0	7	8079E7	NMEA
86317C	F0	8	808071	NMEA
863188	F0	9	80729D	NMEA
863194	F1	0	808255	pubx00
8631A0	F1	3	80844B	pubx03
8631AC	F1	4	808599	pubx04
8631B8	B	0	8092DD	AID-REQ
8631C4	B	1	80965D	AID-INI
8631D0	B	10	809CE9	AID-DATA
8631DC	B	32	809D5F	UNKNOWN
8631E8	B	31	809A1F	AID-EPH
8631F4	B	30	8098D9	AID-ALM
863200	B	33	809E17	UNKNOWN
86320C	C	10	80CEC1	UNKNOWN
863218	C	31	80D0E1	UNKNOWN
863224	C	14	80CEFF	UNKNOWN
863230	C	18	80CFD9	UNKNOWN
86323C	C	19	80CFF3	UNKNOWN
863248	C	20	80D363	UNKNOWN
863254	C	1A	80D381	UNKNOWN
863260	2	12	80F365	UNKNOWN
86326C	2	20	80F2EB	RXM-SVSI
863278	2	23	80F51F	UNKNOWN
863284	2	24	80F5A1	UNKNOWN
863290	2	51	80F691	UNKNOWN
86329C	2	52	80F71F	UNKNOWN
8632A8	D	1	80F9CF	TIM-TP
8632B4	D	3	80F8F9	TIM-TM2
8632C0	D	6	80FA93	UNKNOWN
8632CC	D	10	80FAD9	UNKNOWN
8632D8	C	30	80D4D3	UNKNOWN
8632E4	2	53	80F819	UNKNOWN
8632F0	F1	40	8086A3	UNKNOWN
8632FC	61	87	140F0	UNKNOWN
863308	F0	43	808113	UNKNOWN
863314	59	81	2010B	UNKNOWN
863320	B	2	809BAF	AID-HUI
86332C	B	99	2310B	UNKNOWN
863338	B	34	80A151	UNKNOWN
863344	B3	9E	10320B	UNKNOWN
863350	B	50	809DCF	UNKNOWN
86335C	D5	A1	10106	UNKNOWN
863368	6	2	80A749	CFG-INF
863374	5	A8	11806	UNKNOWN
863380	6	0	80A4B9	CFG-PRT
86338C	BB	A7	10906	UNKNOWN
863398	6	22	80A891	UNKNOWN
8633A4	41	B7	11306	UNKNOWN
