1C2C	21	0	2113E1	80010000F0005B5	UNKNOWN
1C40	21	0	211835	1D1103A080004B5	UNKNOWN
1C54	21	0	21319F	1EB0862A080004B5	UNKNOWN
1C68	21	0	211BE7	16B0862A080004B5	UNKNOWN
1C7C	21	0	212337	8C2A0826014F89B5	UNKNOWN
1C90	21	0	212999	FB08C2A080004B5	UNKNOWN
1CA4	21	0	2117E7	24061CB510408323	UNKNOWN
1CB8	21	0	2172F7	840812101D1052A	UNKNOWN
1CCC	21	0	21780B	CD10F2A140004B5	UNKNOWN
1CE0	21	0	21764D	4FF003D10D2A08B5	UNKNOWN
1CF4	21	0	217BD9	FF0014000E0005B5	UNKNOWN
1D08	21	0	2135D3	2F007B084000CB5	UNKNOWN
1D1C	21	0	210337	9DF00AA07BB089B5	UNKNOWN
1D30	B	1	41F140F1	0	AID-INI
1D44	6	4	106500B	0	CFG-RST
1D58	6	20	34061306	0	UNKNOWN
1D6C	6	26	7060806	0	UNKNOWN
1D80	6	28	E063B06	0	UNKNOWN
1D94	A	4	110A060D	0	MON-VER
1DA8	9	A	8090709	0	UNKNOWN
1DBC	6	3A	2120112	0	UNKNOWN
1DD0	7	0	70000	0	UNKNOWN
1DE4	20	0	21076B	16408222010015B5	UNKNOWN
1DF8	0	0	0	E59FF018E59FF018	UNKNOWN
1E0C	0	0	0	E59FF018E59FF018	UNKNOWN
1E20	0	0	0	E59FF018E59FF018	UNKNOWN
1E34	0	0	0	E59FF018E59FF018	UNKNOWN
1E48	0	0	0	E59FF018E59FF018	UNKNOWN
1E5C	0	0	0	E59FF018E59FF018	UNKNOWN
1E70	0	0	0	E59FF018E59FF018	UNKNOWN
1E84	0	0	0	E59FF018E59FF018	UNKNOWN
1E98	0	0	0	E59FF018E59FF018	UNKNOWN
1EAC	0	0	0	E59FF018E59FF018	UNKNOWN
1EC0	0	0	0	E59FF018E59FF018	UNKNOWN
1ED4	0	0	0	E59FF018E59FF018	UNKNOWN
1EE8	0	0	0	E59FF018E59FF018	UNKNOWN
1EFC	0	0	0	E59FF018E59FF018	UNKNOWN
1F10	0	0	0	E59FF018E59FF018	UNKNOWN
1F24	0	0	0	E59FF018E59FF018	UNKNOWN
1F38	0	0	0	E59FF018E59FF018	UNKNOWN
1F4C	0	0	1	18E59FF018E59FF0	UNKNOWN
1F60	0	0	0	E59FF018E59FF018	UNKNOWN
1F74	0	0	0	E59FF018E59FF018	UNKNOWN
1F88	0	0	FF80008	0	UNKNOWN
1F9C	0	0	0	E59FF018E59FF018	UNKNOWN
1FB0	0	0	0	E59FF018E59FF018	UNKNOWN
1FC4	5	8	0	E59FF018E59FF018	UNKNOWN
1FD8	0	0	0	E59FF018E59FF018	UNKNOWN
1FEC	0	0	2740184	0	UNKNOWN
2000	AC	2	2480B3	25010014000EB5	UNKNOWN
2014	21	0	1700000	0	UNKNOWN
2028	7C	0	805007C	0	UNKNOWN
203C	0	0	0	E59FF018E59FF018	UNKNOWN
2050	0	0	0	E59FF018E59FF018	UNKNOWN
2064	0	0	0	E59FF018E59FF018	UNKNOWN
2078	0	0	0	E59FF018E59FF018	UNKNOWN
208C	0	0	0	E59FF018E59FF018	UNKNOWN
20A0	20	0	8050020	0	UNKNOWN
20B4	5	8	0	E59FF018E59FF018	UNKNOWN
20C8	0	0	0	E59FF018E59FF018	UNKNOWN
20DC	0	0	0	E59FF018E59FF018	UNKNOWN
20F0	0	0	0	E59FF018E59FF018	UNKNOWN
2104	0	0	0	E59FF018E59FF018	UNKNOWN
2118	0	0	0	E59FF018E59FF018	UNKNOWN
212C	0	0	0	E59FF018E59FF018	UNKNOWN
2140	0	0	0	E59FF018E59FF018	UNKNOWN
2154	0	0	4DC0790	0	UNKNOWN
2168	64	8	2311E5	870E0006000014B5	UNKNOWN
217C	23	0	140000	0	UNKNOWN
2190	14	0	9050014	0	UNKNOWN
21A4	5	9	0	E59FF018E59FF018	UNKNOWN
21B8	0	0	0	E59FF018E59FF018	UNKNOWN
21CC	0	0	8EC0BA0	0	UNKNOWN
21E0	0	0	231791	C00E0006000014B5	UNKNOWN
21F4	0	0	0	E59FF018E59FF018	UNKNOWN
2208	0	0	0	E59FF018E59FF018	UNKNOWN
221C	0	0	0	E59FF018E59FF018	UNKNOWN
2230	0	0	0	E59FF018E59FF018	UNKNOWN
2244	0	0	0	E59FF018E59FF018	UNKNOWN
2258	0	0	0	E59FF018E59FF018	UNKNOWN
226C	25	0	440000	E59FF018E59FF018	UNKNOWN
2280	30	14	5052030	0	UNKNOWN
2294	0	0	0	E59FF018E59FF018	UNKNOWN
22A8	0	0	24A083	1689A57BC00004B5	UNKNOWN
22BC	0	0	24A007	40B0847BC00004B5	UNKNOWN
22D0	0	0	249F6F	8200177BC00004B5	UNKNOWN
22E4	0	0	0	E59FF018E59FF018	UNKNOWN
22F8	0	0	0	E59FF018E59FF018	UNKNOWN
230C	40	0	40402	0	UNKNOWN
2320	0	0	0	E59FF018E59FF018	UNKNOWN
2334	0	17	FFFFFFFF	0	UNKNOWN
2348	61	76	61746164	0	UNKNOWN
235C	42	0	10	E59FF018E59FF018	UNKNOWN
2370	0	0	0	E59FF018E59FF018	UNKNOWN
2384	0	0	E7	25BEF40025BEF400	UNKNOWN
